링크ID,시작노드ID,종료노드ID,시작노드명,종료노드명,도로명,지도거리,표준링크수,기본도로여부,권역코드,권역코드명,소통등급구분코드,소통등급구분코드명,소통제공여부
1000018000,1000024400,1000005500,신교동교차로,청운초등학교앞,자하문로,138.0,2,Y,100,종로구,20,시내,Y
1000018300,1000005800,1000021900,삼청공원입구,재동초등학교앞,북촌로,1226.0,3,Y,100,종로구,20,시내,Y
1000018400,1000021900,1000005800,재동초등학교앞,삼청공원입구,북촌로,1252.0,3,Y,100,종로구,20,시내,Y
1000018800,1000005400,1000005800,삼청동주민센터,삼청공원입구,삼청로,356.0,1,Y,100,종로구,20,시내,Y
1000018900,1000026400,1000024000,혜화초교,성균관대입구,성균관로,965.0,3,Y,100,종로구,20,시내,Y
1000019000,1000024000,1000026400,성균관대입구,혜화초교,성균관로,933.0,3,Y,100,종로구,20,시내,Y
1000019100,1000026400,1000025000,국민생활관,혜화동로터리,혜화로,528.0,2,Y,100,종로구,20,시내,Y
1000019200,1000025300,1000026400,혜화동로터리,국민생활관,혜화로,512.0,3,Y,100,종로구,20,시내,Y
1000019400,1000025300,1070008600,혜화동로터리,한성대입구역,창경궁로,560.0,2,Y,100,종로구,20,시내,Y
1000019500,1000030800,1000005500,석파정앞,청운초교앞,자하문로,1315.0,4,Y,100,종로구,20,시내,Y
1000019600,1000005500,1000030800,청운초교앞,석파정앞,자하문로,1314.0,4,Y,100,종로구,20,시내,Y
1000019900,1070011700,1000026400,성북초교앞,국민생활관,혜화로,447.0,2,Y,107,성북구,20,시내,Y
1000020000,1000026400,1070011700,국민생활관,성북초교앞,혜화로,465.0,2,Y,100,종로구,20,시내,Y
1000020200,1000005800,1070003200,삼청공원입구,성북동서울아파트,삼청로,2114.0,6,Y,100,종로구,20,시내,Y
1000020500,1000006000,1000006200,창의문앞,북악산로입구,백석동길,137.0,1,Y,100,종로구,20,시내,Y
1000020600,1000006200,1000006000,북악산로입구,창의문앞,백석동길,155.0,1,Y,100,종로구,20,시내,Y
1000020700,1000006300,1000030800,세검정,석파정앞,자하문로,826.0,2,Y,100,종로구,20,시내,Y
1000020800,1000030800,1000006300,석파정앞,세검정,자하문로,837.0,2,Y,100,종로구,20,시내,Y
1000020900,1000028200,1000006300,신영동삼거리,세검정,세검정로,562.0,2,Y,100,종로구,20,시내,Y
1000021100,1000006200,1070019000,북악산로입구,북악골프연습장,북악산로,5328.0,4,Y,100,종로구,20,시내,Y
1000021200,1070019000,1000006200,북악골프연습장,북악산로입구,북악산로,5290.0,4,Y,107,성북구,20,시내,Y
1000021300,1000029100,1000028200,구기터널동측,신영동삼거리,진흥로,720.0,3,Y,100,종로구,20,시내,Y
1000021400,1000028200,1000029100,신영동삼거리,구기터널동측,진흥로,724.0,3,Y,100,종로구,20,시내,Y
1000021600,1000029100,1110016900,구기터널동측,서울혁신파크교차로,진흥로,2375.0,6,Y,100,종로구,20,시내,Y
1000021800,1000028200,1070031300,신영동삼거리,국민대학교앞,평창문화로,3152.0,9,Y,100,종로구,20,시내,Y
1004350000,1240030700,1240030600,강일IC(하남방향진출),강일IC(하남방향진출),강일IC(제1순환고속도로 판교방향→올림픽대로 하남방향 진입램프),1027.0,1,N,,,20,시내,Y
1004350100,1240030800,1240030400,강일IC서측(올림픽대로),강일IC(구리방향합류),강일IC(올림픽대로 하남방향→제1순환고속도로 구리방향 진입램프),1123.0,1,N,,,20,시내,Y
1004350800,1030018200,1030020500,성수중고교,성동교남단,광나루로,667.0,2,Y,103,성동구,20,시내,Y
1005001200,1070004100,1070018700,성북구보건소,종암SK아파트,종암로30길,57.0,1,N,107,성북구,20,시내,N
1005001900,1020022800,1020025500,원효대교진출입,원효로2가,원효로,441.0,2,Y,102,용산구,20,시내,Y
1005002000,1020025500,1020022800,원효로2가,원효대교진출입,원효로,441.0,2,Y,102,용산구,20,시내,Y
1005002300,1100021700,1100023000,공릉지하차도(남측),중현초교,섬밭로,399.0,1,Y,110,노원구,20,시내,Y
1005002400,1100023000,1100021700,중현초교,공릉지하차도(남측),섬밭로,397.0,1,Y,110,노원구,20,시내,Y
1060012900,1060014500,1060004600,우림시장,혜원사거리,봉우재로,641.0,2,Y,106,중랑구,20,시내,Y
1060013000,1060004600,1060014500,혜원사거리,우림시장,봉우재로,626.0,2,Y,106,중랑구,20,시내,Y
1060013400,1060004600,1060016300,혜원사거리,망우역,상봉로,451.0,4,Y,106,중랑구,20,시내,Y
1060013700,1060005000,1060013100,이화교동단,서울시체육회,중랑천로,999.0,4,Y,106,중랑구,20,시내,Y
1060013900,1060017300,1060014500,망우사거리,우림시장,용마산로,492.0,2,Y,106,중랑구,20,시내,Y
1060014000,1060014500,1060017300,우림시장,망우사거리,용마산로,497.0,2,Y,106,중랑구,20,시내,Y
1060014500,1060005100,1060004900,중화역입구대원사약국,태릉시장,중랑역로,247.0,1,Y,106,중랑구,20,시내,Y
1060014600,1060004900,1060005100,태릉시장,중화역입구대원사약국,중랑역로,247.0,1,Y,106,중랑구,20,시내,Y
1060014700,1060005200,1060016700,중화초교,신내지하차도,신내로,424.0,2,Y,106,중랑구,20,시내,Y
1060014900,1060005100,1060019400,중화역입구대원사약국,이화교동단,봉화산로,313.0,2,Y,106,중랑구,20,시내,Y
1060015000,1060030700,1060005100,이화교동단,중화역입구대원사약국,봉화산로,313.0,2,Y,106,중랑구,20,시내,Y
1060015300,1060005300,1060019300,봉화삼거리,중화역,봉화산로,698.0,3,Y,106,중랑구,20,시내,Y
1060015400,1060019300,1060005300,중화역,봉화삼거리,봉화산로,703.0,3,Y,106,중랑구,20,시내,Y
1060015500,1060005500,1060001700,숭곡고교,동부제일병원,양원역로,633.0,5,N,106,중랑구,20,시내,N
1060015700,1060005400,1060005100,중화동제일시장,중화역입구대원사약국,중랑역로,405.0,2,Y,106,중랑구,20,시내,Y
1060015800,1060005100,1060005400,중화역입구대원사약국,중화동제일시장,중랑역로,405.0,2,Y,106,중랑구,20,시내,Y
1060015900,1060022400,1060005200,중랑구청사거리,중화초교,신내로,452.0,3,Y,106,중랑구,20,시내,Y
1060016200,1060005300,1060022400,봉화삼거리,중랑구청사거리,봉화산로,845.0,3,Y,106,중랑구,20,시내,Y
1060016700,1060005700,1060005400,신묵초교,중화동제일시장,중랑역로,322.0,2,Y,106,중랑구,20,시내,Y
1060016900,1060002200,1060022400,능산삼거리,중랑구청사거리,봉화산로,544.0,3,Y,106,중랑구,20,시내,Y
1060017000,1060022400,1060002200,중랑구청사거리,능산삼거리,봉화산로,542.0,3,Y,106,중랑구,20,시내,Y
1060017400,1060022400,1060023300,중랑구청사거리,동성아파트앞,신내로,394.0,1,Y,106,중랑구,20,시내,Y
1060017600,1060005000,1060028100,이화교동단,묵동교,중랑천로,1807.0,3,Y,106,중랑구,20,시내,Y
1060017800,1060005700,1060005900,신묵초교,먹골역입구,중랑역로,431.0,2,Y,106,중랑구,20,시내,Y
1060018300,1060026500,1060023300,중랑소방서,동성아파트앞,신내로,569.0,2,Y,106,중랑구,20,시내,Y
1060018500,1060026800,1060005900,묵동극동늘푸른아파트,먹골역입구,중랑역로,459.0,2,Y,106,중랑구,20,시내,Y
1060018900,1060006500,1060023800,삼성아파트,먹골역,공릉로,581.0,4,Y,106,중랑구,20,시내,Y
1060019000,1060023700,1060006500,먹골역,삼성아파트,공릉로,636.0,4,Y,106,중랑구,20,시내,Y
1060019900,1060028000,1060026500,봉화환승주차장,중랑소방서,신내로,218.0,1,Y,106,중랑구,20,시내,Y
1060020000,1060026500,1060028000,중랑소방서,봉화환승주차장,신내로,222.0,1,Y,106,중랑구,20,시내,Y
1060020100,1060006500,1060026800,삼성아파트,묵동극동늘푸른아파트,중랑역로,311.0,2,Y,106,중랑구,20,시내,Y
1060020200,1060026800,1060006500,묵동극동늘푸른아파트,삼성아파트,중랑역로,311.0,2,Y,106,중랑구,20,시내,Y
1060020600,1060028000,1060028600,봉화환승주차장,봉화산역,신내로,284.0,1,Y,106,중랑구,20,시내,Y
1060021100,1100013500,1060006500,구묵동교,삼성아파트,공릉로,235.0,3,Y,110,노원구,20,시내,Y
1060021200,1060006500,1100013500,삼성아파트,구묵동교,공릉로,235.0,3,Y,106,중랑구,20,시내,Y
1060021300,1060029700,1060028600,두산대림아파트,봉화산역,신내로,284.0,1,Y,106,중랑구,20,시내,Y
1060021400,1060028600,1060029700,봉화산역,두산대림아파트,신내로,284.0,1,Y,106,중랑구,20,시내,Y
1060021600,1060029700,1100014700,두산대림아파트,화랑대역,신내로,341.0,2,Y,106,중랑구,20,시내,Y
1070000200,1070020000,1070024400,종암JC,하월곡램프(북부간선도로),북부간선도로,1429.0,1,Y,107,성북구,10,도시고속,Y
1070000300,1070026800,1070023400,정릉램프(내부순환로본선),길음램프(내부순환로),내부순환로,2532.0,1,Y,107,성북구,10,도시고속,Y
1070000400,1070023900,1070026900,길음램프(내부순환로),정릉램프(내부순환로본선),내부순환로,2515.0,1,Y,107,성북구,10,도시고속,Y
1070000500,1070023400,1070020000,길음램프(내부순환로),종암JC,내부순환로,795.0,1,Y,107,성북구,10,도시고속,Y
1070000600,1070020200,1070023900,종암JC,길음램프(내부순환로),내부순환로,809.0,1,Y,107,성북구,10,도시고속,Y
1070001100,1070026800,1070024900,정릉램프(내부순환로본선),봉국사,내부순환로_정릉램프진출,620.0,,N,,,20,시내,Y
1070001200,1070025600,1070026900,봉국사,정릉램프(내부순환로본선),내부순환로_정릉램프진입,495.0,,N,,,20,시내,Y
1070001300,1070000900,1070026800,정릉터널동측(내부순환로),정릉램프(내부순환로본선),내부순환로,812.0,1,Y,107,성북구,10,도시고속,Y
1070001500,1070035600,1070024600,월릉IC(북부간선도로),하월곡램프(북부간선도로),북부간선도로,1494.0,1,Y,107,성북구,10,도시고속,Y
1070001600,1070024400,1070035600,하월곡램프(북부간선도로),월릉IC(북부간선도로),북부간선도로,1490.0,1,Y,107,성북구,10,도시고속,Y
1070001900,1050020900,1000001300,대광중고교,신설동역,보문로,303.0,2,Y,105,동대문구,20,시내,Y
